"App name","Date","Time","Duration"
"Screen on (locked)","4/19/24","6:52:51 PM","0:00:16"
"Screen off (locked)","4/19/24","6:52:18 PM","0:00:34"
"GPay","4/19/24","6:51:46 PM","0:00:27"
"Screen on (unlocked)","4/19/24","6:51:44 PM","0:00:00"
"Screen off","4/19/24","6:51:43 PM","0:00:01"
"Screen off (locked)","4/19/24","6:51:18 PM","0:00:24"
"Screen on (locked)","4/19/24","6:51:17 PM","0:00:01"
"Screen off (locked)","4/19/24","6:44:36 PM","0:06:41"
"WhatsApp","4/19/24","6:44:24 PM","0:00:13"
"Truecaller","4/19/24","6:44:21 PM","0:00:03"
"Contacts","4/19/24","6:44:21 PM","0:00:01"
"Phone","4/19/24","6:43:59 PM","0:00:21"
"Screen on (unlocked)","4/19/24","6:43:59 PM","0:00:00"
"Screen off","4/19/24","6:43:56 PM","0:00:04"
"Phone","4/19/24","6:43:52 PM","0:00:03"
"Contacts","4/19/24","6:43:51 PM","0:00:01"
"Truecaller","4/19/24","6:43:50 PM","0:00:01"
"Contacts","4/19/24","6:43:42 PM","0:00:03"
"Truecaller","4/19/24","6:43:41 PM","0:00:01"
"Phone","4/19/24","6:43:36 PM","0:00:05"
"Contacts","4/19/24","6:43:31 PM","0:00:05"
"Screen on (unlocked)","4/19/24","6:43:30 PM","0:00:00"
"Screen off","4/19/24","6:43:30 PM","0:00:01"
"Screen off (locked)","4/19/24","6:31:23 PM","0:12:07"
"Screen on (locked)","4/19/24","6:31:21 PM","0:00:01"
"Screen off (locked)","4/19/24","6:22:13 PM","0:09:09"
"Instagram","4/19/24","6:19:25 PM","0:02:46"
"Screen on (unlocked)","4/19/24","6:19:20 PM","0:00:00"
"Screen on (locked)","4/19/24","6:19:20 PM","0:00:01"
"Screen off (locked)","4/19/24","6:16:56 PM","0:02:24"
"Screen on (locked)","4/19/24","6:16:45 PM","0:00:10"
"Screen off (locked)","4/19/24","6:15:36 PM","0:01:10"
"Screen on (locked)","4/19/24","6:15:25 PM","0:00:11"
"Screen off (locked)","4/19/24","6:09:39 PM","0:05:47"
"Screen on (locked)","4/19/24","6:09:28 PM","0:00:11"
"Screen off (locked)","4/19/24","6:05:05 PM","0:04:23"
"Screen on (locked)","4/19/24","6:04:55 PM","0:00:10"
"Screen off (locked)","4/19/24","5:58:28 PM","0:06:27"
"Screen on (locked)","4/19/24","5:58:11 PM","0:00:17"
"Screen off (locked)","4/19/24","5:58:06 PM","0:00:05"
"Instagram","4/19/24","5:42:38 PM","0:15:23"
"Screen on (unlocked)","4/19/24","5:42:36 PM","0:00:00"
"Screen off","4/19/24","5:42:36 PM","0:00:01"
"Screen off (locked)","4/19/24","5:42:18 PM","0:00:18"
"Screen on (locked)","4/19/24","5:42:08 PM","0:00:10"
"Instagram","4/19/24","5:39:54 PM","0:02:12"
